T10,Public Expenditure on Education (2021),,,
Region/Country/Area,,Year,Series,Value
4,Afghanistan,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),9.3
4,Afghanistan,2010,All staff compensation as % of total expenditure in public institutions (%),72.4
4,Afghanistan,2010,Capital expenditure as % of total expenditure in public institutions (%),18.3
4,Afghanistan,2010,Public expenditure on education (% of GDP),3.5
4,Afghanistan,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),9
4,Afghanistan,2015,All staff compensation as % of total expenditure in public institutions (%),71.4
4,Afghanistan,2015,Capital expenditure as % of total expenditure in public institutions (%),19.6
4,Afghanistan,2015,Public expenditure on education (% of GDP),3.3
4,Afghanistan,2019,Basic access to computers by level of education: Primary,9
4,Afghanistan,2019,Basic access to computers by level of education: Lower secondary,10
4,Afghanistan,2019,Basic access to computers by level of education: Upper secondary,23
4,Afghanistan,2019,Public expenditure on education (% of GDP),3.2
8,Albania,2005,Public expenditure on education (% of GDP),3.3
8,Albania,2007,Public expenditure on education (% of GDP),3.3
8,Albania,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),12.5
8,Albania,2015,All staff compensation as % of total expenditure in public institutions (%),79.5
8,Albania,2015,Capital expenditure as % of total expenditure in public institutions (%),8.1
8,Albania,2015,Public expenditure on education (% of GDP),3.4
8,Albania,2019,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),14.2
8,Albania,2019,All staff compensation as % of total expenditure in public institutions (%),72.6
8,Albania,2019,Capital expenditure as % of total expenditure in public institutions (%),13.2
8,Albania,2019,Basic access to computers by level of education: Primary,49
8,Albania,2019,Basic access to computers by level of education: Lower secondary,83
8,Albania,2019,Basic access to computers by level of education: Upper secondary,82
8,Albania,2019,Public expenditure on education (% of GDP),3.9
8,Albania,2020,Basic access to computers by level of education: Primary,54.3
8,Albania,2020,Basic access to computers by level of education: Lower secondary,100
8,Albania,2020,Basic access to computers by level of education: Upper secondary,100
12,Algeria,2008,Public expenditure on education (% of GDP),4.3
12,Algeria,2019,Public expenditure on education (% of GDP),6.1
12,Algeria,2020,Basic access to computers by level of education: Lower secondary,87
12,Algeria,2020,Basic access to computers by level of education: Upper secondary,88
16,American Samoa,2006,Capital expenditure as % of total expenditure in public institutions (%),6.2
16,American Samoa,2006,Public expenditure on education (% of GDP),14.7
20,Andorra,2005,Public expenditure on education (% of GDP),1.6
20,Andorra,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),30.9
20,Andorra,2010,All staff compensation as % of total expenditure in public institutions (%),36.7
20,Andorra,2010,Capital expenditure as % of total expenditure in public institutions (%),1.7
20,Andorra,2010,Public expenditure on education (% of GDP),3
20,Andorra,2013,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),59.4
20,Andorra,2013,All staff compensation as % of total expenditure in public institutions (%),40
20,Andorra,2013,Capital expenditure as % of total expenditure in public institutions (%),0.6
20,Andorra,2013,Public expenditure on education (% of GDP),2.5
20,Andorra,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),63.6
20,Andorra,2015,Capital expenditure as % of total expenditure in public institutions (%),1.3
20,Andorra,2015,Public expenditure on education (% of GDP),3.3
20,Andorra,2019,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),62.7
20,Andorra,2019,All staff compensation as % of total expenditure in public institutions (%),36.5
20,Andorra,2019,Capital expenditure as % of total expenditure in public institutions (%),0.8
20,Andorra,2019,Basic access to computers by level of education: Primary,100
20,Andorra,2019,Basic access to computers by level of education: Lower secondary,100
20,Andorra,2019,Basic access to computers by level of education: Upper secondary,100
20,Andorra,2019,Public expenditure on education (% of GDP),3.2
20,Andorra,2020,Basic access to computers by level of education: Primary,100
20,Andorra,2020,Basic access to computers by level of education: Lower secondary,100
20,Andorra,2020,Basic access to computers by level of education: Upper secondary,100
24,Angola,2005,Public expenditure on education (% of GDP),2.1
24,Angola,2006,Capital expenditure as % of total expenditure in public institutions (%),24.3
24,Angola,2006,Public expenditure on education (% of GDP),2.3
24,Angola,2010,Public expenditure on education (% of GDP),3.4
24,Angola,2015,Public expenditure on education (% of GDP),3.5
24,Angola,2016,Basic access to computers by level of education: Primary,7
24,Angola,2016,Basic access to computers by level of education: Lower secondary,25
24,Angola,2016,Basic access to computers by level of education: Upper secondary,49
24,Angola,2016,Public expenditure on education (% of GDP),2.8
24,Angola,2019,Public expenditure on education (% of GDP),1.8
660,Anguilla,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),6.7
660,Anguilla,2005,All staff compensation as % of total expenditure in public institutions (%),80.9
660,Anguilla,2005,Public expenditure on education (% of GDP),3
660,Anguilla,2008,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),9.8
660,Anguilla,2008,All staff compensation as % of total expenditure in public institutions (%),69.4
660,Anguilla,2008,Capital expenditure as % of total expenditure in public institutions (%),20.8
660,Anguilla,2008,Public expenditure on education (% of GDP),2.8
660,Anguilla,2010,Basic access to computers by level of education: Lower secondary,100
660,Anguilla,2010,Basic access to computers by level of education: Upper secondary,100
660,Anguilla,2015,Public expenditure on education (% of GDP),3
660,Anguilla,2018,Public expenditure on education (% of GDP),3.6
660,Anguilla,2019,Basic access to computers by level of education: Primary,100
660,Anguilla,2019,Basic access to computers by level of education: Lower secondary,100
